,product_name,review_text,product_rating,review_date,avg_rating
0,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz","If I could rate this 1 million stars I would. It smells so fresh but kind of floral but yet kind of rustic. I'm not sure if I'm good at explaining smells but just know it smells really yummy. I'm not a huge fan of vanilla and luckily it doesn't give any hints of that. 
Not to mention, the bottle is so cute",5,12/4/2024,4.6
1,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz",this is an amazing smell I'm extremely happy with it there's three and a set that you could buy purchase separately and adding them in different layers also makes it smell amazing and it's in a beautiful container that everyone you could put together to make a new bottle,5,1/24/2025,4.6
2,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz","This is my First time buying, Juicy couture perfume and let me sayy I'm not disappointed I love” IT!! 💋 smells so good very grown woman-ish  but delicate at the same time and I think it would be great for a date, the movies or a concert I give this a 5/5 stars ⭐️",5,1/17/2025,4.6
3,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz","I love this. It smells like the original with a more floral note to it.
Wish the bottle was bigger. 
The inside of the bottle is push up into the bottle making it look bigger.",5,11/24/2024,4.6
4,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz","I LOVE this scent. I got a tiny sample bottle from Ulta years ago that I finally tried and fell in love. When I went to find it online, Walmart happen to sell it and it's relatively cheap!",5,10/21/2024,4.6
5,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz","She expressed great enthusiasm for the product I presented to her as a Christmas gift. The fragrance is highly appealing, and she has indicated a desire for an additional bottle.",5,1/22/2025,4.6
6,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz","The perfume has a light floral scent that stays with you thru your day. 

*shhh… I spray myself a little spritz onto the hood of my hoodie and can still smell the perfume days later*",5,12/5/2024,4.6
7,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz",This smells amazing! I've struggled to find a fragrance I like but when I sprayed this I fell in love! It's not too strong but seems to be long lasting. The bottle was just much smaller than expected so I'll have to use it sparingly.,4,11/15/2024,4.6
8,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz",Wish it was more long lasting but the scent is very nice. It goes quick as the bottle has more show than the amount in it. I would buy the scent again,4,2/2/2025,4.6
9,"Juicy Couture OUI Play Sparkling Rebel Eau De Parfum, Perfume for Women, 0.5 oz","The scent was pretty good at first. Then the lingering scent is not so sweet. It seems to stay on too long. I sprayed my blouse and after washing, still smells of the perfume. The scent is not as sweet as I read about.  This made me not want to buy any more Juicy Couture perfumes.",3,1/19/2025,4.6
